term,coef,se,z,p,IRR,IRR_lo95,IRR_hi95,family,sample,outcome,n
(Intercept),0.11741818325225595,0.23265398970743414,0.5046901770303233,0.6137764614202317,1.124589615914719,0.7127791624884522,1.7743248831908787,NB via withReplicates (theta=5.252),Subsidized,UNSAFE_COND,1125
RACEBlack,0.2779266119991057,0.10266026695642776,2.707246145356961,0.006784393457784623,1.320389292922723,1.0797315967961576,1.6146863628314383,NB via withReplicates (theta=5.252),Subsidized,UNSAFE_COND,1125
RACEHispanic,0.27731987823796594,0.08861821564075925,3.129377817334598,0.0017517690796369002,1.3195884111464344,1.1091879550658181,1.5698994628269682,NB via withReplicates (theta=5.252),Subsidized,UNSAFE_COND,1125
RACEAsian,0.08394192340163838,0.13225373572483498,0.6347036092521924,0.5256217392646252,1.0875657298565855,0.8392258672960803,1.4093931834696343,NB via withReplicates (theta=5.252),Subsidized,UNSAFE_COND,1125
RACEAIAN_NHPI,0.5673610835046601,0.1853743392356338,3.060623632397544,0.0022087654996379735,1.7636068939311906,1.2263317282459036,2.5362707370953252,NB via withReplicates (theta=5.252),Subsidized,UNSAFE_COND,1125
RACEOther_2plus,0.7602357924399105,0.2999845810812064,2.5342495594269,0.011268844561560774,2.138780469310745,1.1879938136014954,3.8505098625366547,NB via withReplicates (theta=5.252),Subsidized,UNSAFE_COND,1125
SUBSIDYVoucher,-0.5798147849084979,0.12406544481300108,-4.6734591229848865,2.9616867383923947e-6,0.5600020777967434,0.4391197795611669,0.7141612419510401,NB via withReplicates (theta=5.252),Subsidized,UNSAFE_COND,1125
SUBSIDYOther_subsidy,-0.17407440777372657,0.13165335389420388,-1.322217798671594,0.18609563589115385,0.8402343753631086,0.6491347339693345,1.087592095441907,NB via withReplicates (theta=5.252),Subsidized,UNSAFE_COND,1125
REGSTATUSRent_stabilized,0.20824612060955286,0.12687790926059347,1.6413110983870163,0.1007328534468171,1.2315162337782932,0.9603719885118192,1.579213317549616,NB via withReplicates (theta=5.252),Subsidized,UNSAFE_COND,1125
REGSTATUSRent_controlled,0.34561663281274146,0.20710398286471654,1.6688072727143228,0.09515558094349913,1.4128608674832899,0.941475292805975,2.12026363954409,NB via withReplicates (theta=5.252),Subsidized,UNSAFE_COND,1125
REGSTATUSOther_regulated,-0.07831553933226339,0.18413703481553137,-0.4253111787681384,0.670609845481523,0.9246726099282515,0.644536305083752,1.326565204795441,NB via withReplicates (theta=5.252),Subsidized,UNSAFE_COND,1125
OLDER_ADULT,-0.036116594098798506,0.06829207504678568,-0.5288548352653756,0.5969061549121458,0.9645278286739336,0.8436909189852139,1.102671501318787,NB via withReplicates (theta=5.252),Subsidized,UNSAFE_COND,1125
SINGLE,-0.012878142178792724,0.06693063260772249,-0.1924102862477179,0.8474208356801824,0.9872044262713955,0.8658339070233784,1.1255883736411822,NB via withReplicates (theta=5.252),Subsidized,UNSAFE_COND,1125
CHILDREN,0.10230538608679575,0.08875926210543623,1.1526164555679632,0.24906784596003548,1.1077217028758615,0.9308447538599548,1.3182083971940253,NB via withReplicates (theta=5.252),Subsidized,UNSAFE_COND,1125
YEARBUILT_ORD,-0.05099148764496626,0.014678970142463495,-3.473778279407865,5.131849047222398e-4,0.9502867596762803,0.9233358257316072,0.9780243552236423,NB via withReplicates (theta=5.252),Subsidized,UNSAFE_COND,1125
UNITS_BIN,0.04378242016141192,0.022179860101850576,1.9739718808126718,0.048384940385049,1.0447550125297935,1.000309942384003,1.0911748348764432,NB via withReplicates (theta=5.252),Subsidized,UNSAFE_COND,1125
ROOMS_RAW,0.09632888746294511,0.023434557851656584,4.110548535744431,3.947202967845822e-5,1.1011211493892594,1.051688695894697,1.1528770731921276,NB via withReplicates (theta=5.252),Subsidized,UNSAFE_COND,1125
(Intercept),-0.44246031369217176,0.15168742044631695,-2.9169216035865086,0.003535046118991289,0.6424538370829361,0.47722478211258135,0.8648899811016465,NB via withReplicates (theta=2.576),Unsubsidized,UNSAFE_COND,1973
RACEBlack,0.4364968114162275,0.08840761867557102,4.937321216829033,7.920295801903669e-7,1.5472773088613903,1.3011101724101384,1.8400187173101923,NB via withReplicates (theta=2.576),Unsubsidized,UNSAFE_COND,1973
RACEHispanic,0.2245415829056847,0.07765408644517552,2.8915617089155132,0.003833323037920041,1.2517487616165082,1.0750203304777715,1.4575305394569564,NB via withReplicates (theta=2.576),Unsubsidized,UNSAFE_COND,1973
RACEAsian,-0.10903132396740273,0.09827061020429159,-1.1095008338784205,0.26721418490788956,0.896702328783796,0.7396030024132948,1.0871711767294323,NB via withReplicates (theta=2.576),Unsubsidized,UNSAFE_COND,1973
