puma,total_seats,total_vacancy,tot_births_22,pre_sch_age,population,white_nh,black_nh,hispanic,asian_api_nh,other_multiracial_nh,pct_white_nh,pct_black_nh,pct_hispanic,pct_asian_api_nh,pct_other_multiracial_nh,households,mean_household_income,median_household_income,seats_per_child_children,vacancy_rate,median_inc_10k,pct_hispanic10,pct_black10,pct_asian10,seats_per_child
4103,2339,1121,794,1588,155150,55606,13828,36058,42840,6818,0.358401546890106,0.0891266516274573,0.232407347728005,0.276119883983242,0.0439445697711892,73758,107331.53501993,52500,1.47292191435768,0.479264643009833,5.25,2.32407347728005,0.891266516274573,2.76119883983242,1.47292191435768
4104,837,245,793,1586,118262,63399,8504,21126,17741,7492,0.536089360910521,0.0719081361722278,0.178637263026162,0.150014374862593,0.063350865028496,68730,182509.643037975,108200,0.527742749054224,0.292712066905615,10.82,1.78637263026162,0.719081361722278,1.50014374862593,0.527742749054224
4107,1491,194,1848,3696,221443,139442,14027,32920,23970,11084,0.62969703264497,0.0633436143838369,0.148661280781059,0.108244559548055,0.0500535126420795,108523,221469.161191637,129050,0.403409090909091,0.130114017437961,12.905,1.48661280781059,0.633436143838369,1.08244559548055,0.403409090909091
4108,1323,272,2143,4286,211724,154501,6695,19854,21865,8809,0.729728325555912,0.031621356105118,0.0937730252592998,0.103271239916117,0.0416060531635526,110828,236851.991644711,140000,0.308679421371909,0.205593348450491,14,0.937730252592998,0.31621356105118,1.03271239916117,0.308679421371909
4109,776,180,788,1576,112774,27748,25966,42739,11604,4717,0.246049621366627,0.230248106833135,0.378979197332719,0.10289605760193,0.0418270168655896,41049,97135.3438573412,55000,0.49238578680203,0.231958762886598,5.5,3.78979197332719,2.30248106833135,1.0289605760193,0.49238578680203
4110,1957,674,1146,2292,134870,21515,66327,33264,5510,8254,0.159523986060651,0.491784681545192,0.246637502780455,0.0408541558537851,0.061199673759917,58715,89166.1435748957,52000,0.853839441535777,0.344404701073071,5.2,2.46637502780455,4.91784681545192,0.408541558537851,0.853839441535777
4111,2332,879,1153,2306,127438,18789,39096,52250,11486,5817,0.147436400445707,0.306784475588129,0.410003295720272,0.0901301024812065,0.0456457257646856,55101,74039.7344875774,36700,1.0112749349523,0.376929674099485,3.67,4.10003295720272,3.06784475588129,0.901301024812065,1.0112749349523
4112,2650,736,1597,3194,197302,40316,14907,128956,6506,6617,0.20433649937659,0.0755542265156968,0.65359702385176,0.0329748304629451,0.0335374197930077,75391,89114.0507487631,60000,0.829680651221039,0.277735849056604,6,6.5359702385176,0.755542265156968,0.329748304629451,0.829680651221039
4121,1309,320,1306,2612,155159,101490,5883,13079,25696,9011,0.654103210255287,0.0379159442894064,0.084294175652073,0.165610760574636,0.0580759092285978,78543,270510.778427104,167000,0.50114854517611,0.244461420932009,16.7,0.84294175652073,0.379159442894064,1.65610760574636,0.50114854517611
4165,800,132,1445,2890,194841,122423,9461,17952,33519,11486,0.628322580976283,0.0485575417904856,0.0921366652809214,0.17203258041172,0.0589506315405895,107173,202647.078200666,132000,0.27681660899654,0.165,13.2,0.921366652809214,0.485575417904856,1.7203258041172,0.27681660899654
