puma,population,white_nh,black_nh,hispanic,asian_nh,aian_nhpi,other_2plus,pct_white_nh,pct_black_nh,pct_hispanic,pct_asian_nh,pct_aian_nhpi,pct_other_2plus,pct_other_2plus_combined,households,mean_household_income,median_household_income
4103,155150,55606,13828,36058,42817,324,6517,0.358401546890106,0.0891266516274573,0.232407347728005,0.27597164034805,0.00208830164357074,0.0420045117628102,0.0440928134063809,73758,107331.53501993,52500
4104,118262,63399,8504,21126,17700,210,7323,0.536089360910521,0.0719081361722278,0.178637263026162,0.149667687000051,0.00177571832033959,0.061921834570699,0.0636975528910385,68730,182509.643037975,108200
4107,221443,139442,14027,32920,23970,99,10985,0.62969703264497,0.0633436143838369,0.148661280781059,0.108244559548055,0.000447067642689089,0.0496064449993904,0.0500535126420795,108523,221469.161191637,129050
4108,211724,154501,6695,19854,21801,121,8752,0.729728325555912,0.031621356105118,0.0937730252592998,0.102968959588899,0.00057149874364739,0.0413368347471236,0.041908333490771,110828,236851.991644711,140000
4109,112774,27748,25966,42739,11585,119,4617,0.246049621366627,0.230248106833135,0.378979197332719,0.102727579051909,0.00105520776065405,0.0409402876549559,0.04199549541561,41049,97135.3438573412,55000
4110,134870,21515,66327,33264,5501,54,8209,0.159523986060651,0.491784681545192,0.246637502780455,0.0407874249277082,0.000400385556461778,0.0608660191295321,0.0612664046859939,58715,89166.1435748957,52000
4111,127438,18789,39096,52250,11460,150,5693,0.147436400445707,0.306784475588129,0.410003295720272,0.0899260817024749,0.00117704295422088,0.0446727035891963,0.0458497465434172,55101,74039.7344875774,36700
4112,197302,40316,14907,128956,6488,277,6358,0.20433649937659,0.0755542265156968,0.65359702385176,0.0328835997607728,0.00140393913898491,0.0322247113561951,0.03362865049518,75391,89114.0507487631,60000
4121,155159,101490,5883,13079,25696,164,8847,0.654103210255287,0.0379159442894064,0.084294175652073,0.165610760574636,0.00105698025896016,0.0570189289696376,0.0580759092285978,78543,270510.778427104,167000
4165,194841,122423,9461,17952,33433,396,11176,0.628322580976283,0.0485575417904856,0.0921366652809214,0.171591194871716,0.00203242644002032,0.0573595906405736,0.0593920170805939,107173,202647.078200666,132000
4204,146631,5536,47645,87610,1592,522,3726,0.0377546357864299,0.324931290109186,0.597486206873035,0.0108571857247103,0.00355995662581582,0.0254107248808233,0.0289706815066391,56688,55569.0793465989,40000
4205,131198,2415,36220,88302,977,225,3059,0.0184072927940975,0.276071281574414,0.673043796399335,0.00744675985914419,0.00171496516715194,0.0233159042058568,0.0250308693730087,47289,49676.2695341411,34700
4207,127793,7441,17954,93430,6661,322,1985,0.0582269764384591,0.140492828245679,0.731104207585705,0.0521233557393598,0.00251969982706408,0.0155329321637335,0.0180526319907976,50346,55470.8088428078,40000
4208,97512,32751,13021,43670,3982,31,4057,0.335866354910165,0.13353228320617,0.447842316843055,0.0408359996718353,0.000317909590614488,0.0416051357781606,0.0419230453687751,40692,106042.593875946,72000
4209,168887,3748,44852,95952,16978,457,6900,0.0221923534671111,0.265574022867361,0.56814319633838,0.100528755913717,0.00270595131656078,0.0408557200968695,0.0435616714134303,63394,61720.7739218223,42300
4210,127259,28182,30509,54809,10013,109,3637,0.221453885383352,0.239739429038418,0.430688595698536,0.0786820578505253,0.000856520953331395,0.0285795110758375,0.0294360320291689,50776,83428.2340081929,64000
4211,113967,23042,24575,51478,10626,360,3886,0.202181333192942,0.215632595400423,0.451692156501443,0.0932375161230883,0.00315880912895838,0.0340975896531452,0.0372563987821036,42884,75302.6481671486,55100
